"",Codi,comarca
0,1,Alt Camp
1,2,Alt Empordà
2,3,Alt Penedès
3,4,Alt Urgell
4,5,Alta Ribagorça
5,6,Anoia
6,7,Bages
7,8,Baix Camp
8,9,Baix Ebre
9,10,Baix Empordà
10,11,Baix Llobregat
11,12,Baix Penedès
12,13,Barcelonès
13,14,Berguedà
14,15,Cerdanya
15,16,Conca de Barberà
16,17,Garraf
17,18,Garrigues
18,19,Garrotxa
19,20,Gironès
20,21,Maresme
21,22,Montsià
22,23,Noguera
23,24,Osona
24,25,Pallars Jussà
25,26,Pallars Sobirà
26,27,Pla d'Urgell
27,28,Pla de l'Estany
28,29,Priorat
29,30,Ribera d'Ebre
30,31,Ripollès
31,32,Segarra
32,33,Segrià
33,34,Selva
34,35,Solsonès
35,36,Tarragonès
36,37,Terra Alta
37,38,Urgell
38,39,Aran
39,40,Vallès Occidental
40,41,Vallès Oriental
41,42,Moianès
42,43,Andorra
43,44,Capcir
44,45,Conflent
45,46,Rosselló
46,47,Vallespir
47,48,Alta Cerdanya
